"전라북도",완주군,8,-,14
"전라북도",진안군,-,-,-
"전라북도",무주군,6,-,13
"전라북도",장수군,1,-,1
"전라북도",임실군,1,-,1
"전라북도",순창군,1,-,1
"전라북도",고창군,5,-,6
"전라북도",부안군,7,-,7
"전라남도",소계,432,2,544
"전라남도",목포시,73,-,89
"전라남도",여수시,68,-,83
"전라남도",순천시,69,-,91
"전라남도",나주시,20,-,22
"전라남도",광양시,38,-,46
"전라남도",담양군,14,-,20
"전라남도",곡성군,6,-,11
"전라남도",구례군,4,-,5
"전라남도",고흥군,12,1,16
"전라남도",보성군,2,-,3
"전라남도",화순군,12,-,18
"전라남도",장흥군,5,-,6
"전라남도",강진군,12,-,13
"전라남도",해남군,15,-,19
"전라남도",영암군,19,-,23
"전라남도",무안군,23,-,24
"전라남도",함평군,7,1,7
"전라남도",영광군,5,-,5
"전라남도",장성군,9,-,14
"전라남도",완도군,10,-,14
"전라남도",진도군,4,-,4
"전라남도",신안군,5,-,11
"경상북도",소계,516,3,676
"경상북도",포항시,111,-,160
"경상북도",경주시,68,1,83
"경상북도",김천시,20,-,25
"경상북도",안동시,30,-,42
"경상북도",구미시,66,-,82
"경상북도",영주시,9,1,10
"경상북도",영천시,35,-,58
"경상북도",상주시,17,-,18
"경상북도",문경시,9,-,12
"경상북도",경산시,47,-,56
"경상북도",군위군,8,-,9
"경상북도",의성군,4,-,4
"경상북도",청송군,3,-,3
"경상북도",영양군,2,-,2
"경상북도",영덕군,15,-,20
"경상북도",청도군,3,-,4
"경상북도",고령군,7,-,8
"경상북도",성주군,14,-,17
"경상북도",칠곡군,35,-,49
"경상북도",예천군,7,-,8
"경상북도",봉화군,4,1,4
"경상북도",울진군,2,-,2
"경상북도",울릉군,-,-,-
"경상남도",소계,489,1,583
"경상남도",진주시,31,-,34
"경상남도",통영시,34,-,41
"경상남도",사천시,23,-,29
"경상남도",김해시,76,-,94
"경상남도",밀양시,12,-,14
"경상남도",거제시,58,-,68
"경상남도",양산시,54,-,63
"경상남도",창원시,122,1,141
"경상남도",의령군,4,-,5
"경상남도",함안군,8,-,9
"경상남도",창녕군,9,-,10
"경상남도",고성군,11,-,13
"경상남도",남해군,8,-,9
"경상남도",하동군,3,-,6
"경상남도",산청군,8,-,15
"경상남도",함양군,9,-,11
"경상남도",거창군,12,-,14
"경상남도",합천군,7,-,7
"제주특별자치도",소계,277,-,366
"제주특별자치도",제주시,201,-,261
"제주특별자치도",서귀포시,76,-,105
