시군구명,위도,경도
은평구,37.608155,126.921463
은평구,37.58321448,126.8939923
은평구,37.60091568,126.9319959
은평구,37.63199016,126.925787
은평구,37.61209401,126.9200674
은평구,37.60326588,126.927312
은평구,37.59218566,126.9067785
은평구,37.61960504,126.9140179
은평구,37.62238207,126.9310756
은평구,37.60292818,126.9112576
은평구,37.61861937,126.9164484
은평구,37.61299788,126.9089174
은평구,37.60997237,126.9295333
은평구,37.62604567,126.9289395
은평구,37.63300437,126.9217255
은평구,37.61363087,126.9098752
은평구,37.58543677,126.9085149
은평구,37.64462051,126.9300865
은평구,37.602239,126.9132315
은평구,37.58840391,126.9186038
은평구,37.611026,126.929174
은평구,37.600581,126.921958
은평구,37.61717661,126.9059206
은평구,37.637515,126.9177904
은평구,37.59818739,126.9120947
은평구,37.5933429,126.9133437
은평구,37.6121646,126.919998
은평구,37.611389,126.927321
은평구,37.5907324,126.924523
은평구,37.6211896,126.9290475
은평구,37.61954385,126.9332431
은평구,37.60917058,126.9071921
은평구,37.60406763,126.914794
은평구,37.597677,126.9046048862
은평구,37.60349147,126.9321581
은평구,37.61104863,126.9084026
은평구,37.61105112,126.9084057
은평구,37.60507778,126.9085136
은평구,37.58798759,126.9205332
은평구,37.62408406,126.9251926
은평구,37.61357878,126.9202282
은평구,37.61246338,126.9261156
은평구,37.59759438,126.9168926
은평구,37.60323188,126.9272906
은평구,37.61789898,126.9238542
은평구,37.58426408,126.9044678
은평구,37.6342335,126.9266854
은평구,37.6342267,126.9266061
은평구,37.6390125,126.9186959
은평구,37.63448977,126.9190181
은평구,37.62952344,126.9301368
은평구,37.62066347,126.9247031788
은평구,37.61961705,126.9228401
은평구,37.61933885,126.9211102
은평구,37.60879855,126.9265632
은평구,37.60093764,126.9199717
은평구,37.58858075,126.9138709
은평구,37.58840547,126.9160053
은평구,37.59694549,126.9188663
은평구,37.5816542,126.9048558
은평구,37.62612523,126.9276676
은평구,37.618033,126.918187
은평구,37.61913445,126.9154328
은평구,37.60104548,126.9341043
