"동별(1)",동별(2),동별(3),2021,2021,2021
"동별(1)",동별(2),동별(3),인구 (명),면적 (㎢),인구밀도 (명/㎢)
"합계",소계,소계,9736027,605.24,16086
"합계",종로구,소계,153789,23.91,6431
"합계",종로구,사직동,9636,1.23,7834
"합계",종로구,삼청동,2739,1.49,1838
"합계",종로구,부암동,9782,2.27,4309
"합계",종로구,평창동,18329,8.87,2066
"합계",종로구,무악동,8297,0.36,23047
"합계",종로구,교남동,10203,0.35,29151
"합계",종로구,가회동,4194,0.54,7767
"합계",종로구,종로1.2.3.4가동,8595,2.35,3657
"합계",종로구,종로5.6가동,5476,0.60,9127
"합계",종로구,이화동,7705,0.78,9878
"합계",종로구,창신1동,5631,0.31,18165
"합계",종로구,창신2동,9051,0.26,34812
"합계",종로구,창신3동,6733,0.23,29274
"합계",종로구,숭인1동,6106,0.23,26548
"합계",종로구,숭인2동,10175,0.35,29071
"합계",종로구,청운효자동,12177,2.57,4738
"합계",종로구,혜화동,18960,1.12,16929
"합계",중구,소계,131787,9.96,13231
"합계",중구,소공동,3367,0.95,3544
"합계",중구,회현동,5432,0.84,6467
"합계",중구,명동,3742,0.99,3780
"합계",중구,필동,4679,1.14,4104
"합계",중구,장충동,5301,1.36,3898
"합계",중구,광희동,6340,0.74,8568
"합계",중구,을지로동,1914,0.60,3190
"합계",중구,신당5동,10708,0.39,27456
"합계",중구,황학동,13444,0.33,40739
"합계",중구,중림동,12351,0.48,25731
"합계",중구,신당동,9095,0.55,16536
"합계",중구,다산동,14274,0.51,27988
"합계",중구,약수동,16889,0.48,35185
"합계",중구,청구동,13818,0.34,40641
"합계",중구,동화동,10433,0.26,40127
"합계",용산구,소계,237285,21.87,10852
"합계",용산구,후암동,17308,0.86,20126
"합계",용산구,용산2가동,10775,1.96,5497
"합계",용산구,남영동,7825,1.19,6576
"합계",용산구,원효로2동,13875,0.71,19542
"합계",용산구,효창동,10156,0.44,23082
"합계",용산구,용문동,11985,0.28,42804
"합계",용산구,이촌1동,26632,2.86,9312
"합계",용산구,이촌2동,8374,1.22,6864
"합계",용산구,이태원1동,8126,0.57,14256
"합계",용산구,이태원2동,10604,0.86,12330
"합계",용산구,서빙고동,13912,2.80,4969
"합계",용산구,보광동,14708,0.71,20715
"합계",용산구,청파동,20076,0.90,22307
"합계",용산구,원효로1동,16577,0.59,28097
"합계",용산구,한강로동,23411,2.90,8073
