"시설ID","시설명","서비스분류코드","서비스분류명","자치구코드","자치구명","연령구분코드","연령구분","X좌표값","Y좌표값","우편번호","기본주소","상세주소","설립일","사용료무료여부","사용료","전용면적(평)","학기시작시간","학기종료시간","방학시작시간","방학종료시간","재량휴일시작시간","재량휴일종료시간","토요일운영여부","토요일운영시작시간","토요일운영종료시간","월사용료무료여부","월자기부담금","월사용료","일사용료무료여부","일자기부담금","일사용료","상시돌봄정원수","일시돌봄정원수","전용면적(m2)","자치구코드배열","등록일시","수정일시"
"GR210311","구로15호점 융합형 우리동네키움센터(개봉동)","1009","융합형키움센터","11530","구로구","1003","초등학생","126.85782","37.4909","08332","서울특별시 구로구 개봉로18길 35","2~3층 (개봉동)","2021-04-01","","","91","1100","2000","0800","2000","0900","2000","Y","0900","1700","N","","50000","N","","2500","30","6","302","","2021-03-23 18:35:29.0","2021-11-11 11:46:13.0"
"GR210310","구로14호점 우리동네키움센터(구로3동)","1001","우리동네키움센터","11530","구로구","1003","초등학생","126.89085","37.48683","08375","서울특별시 구로구 디지털로31길 93","구로종합사회복지관 2층 (구로동)","2021-04-01","","","29","1000","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","25","5","96.48","","2021-03-23 16:31:10.0","2021-11-02 11:15:37.0"
"DJ210301","동작10호점 융합형 우리동네키움센터(대방동)","1009","융합형키움센터","11590","동작구","1003","초등학생","126.92518","37.4996","07055","서울특별시 동작구 상도로 42","2층 (대방동)","2021-05-03","","","69","1200","2000","0800","2000","0800","2000","Y","0800","1200","N","","50000","N","","2500","35","7","230.85","","2021-03-17 11:01:14.0","2022-10-31 18:42:12.0"
"GJ210301","광진8호점 우리동네키움센터","1001","우리동네키움센터","11215","광진구","1003","초등학생","127.08463","37.5428","05038","서울특별시 광진구 자양로 170","2층 (구의동)","2021-04-01","","","45.6","1000","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","26","4","151","","2021-03-15 14:21:57.0","2021-12-24 22:12:38.0"
"GS210302","강서4호점 우리동네키움센터(방화2동)","1001","우리동네키움센터","11500","강서구","1003","초등학생","126.80763856012994","37.571418936520786","07602","서울특별시 강서구 양천로10길 38","106동 105호 (방화동 신마곡벽산블루밍)","2021-03-10","","","80","0900","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","25","5","267","","2021-03-08 11:57:36.0","2022-09-08 10:59:01.0"
"GS210301","강서3호점 우리동네키움센터(화곡본동)","1001","우리동네키움센터","11500","강서구","1003","초등학생","126.84605","37.54109","07722","서울특별시 강서구 까치산로6길 49","1층 (화곡동)","2021-03-09","","","40","0900","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","20","4","132","","2021-03-05 11:07:20.0","2022-02-04 10:45:55.0"
"GA210202","관악1호점 우리동네키움센터","1001","우리동네키움센터","11620","관악구","1003","초등학생","126.94171","37.47612","08829","서울특별시 관악구 참숯5길 38","1층 우리동네키움센터 관악1호점 (신림동)","2021-03-08","","","31","1100","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","20","4","102.85","","2021-02-23 19:32:07.0","2022-01-10 12:56:42.0"
"GA210201","관악2호점 우리동네키움센터","1001","우리동네키움센터","11620","관악구","1003","초등학생","126.92871","37.47852","08843","서울특별시 관악구 문성로32길 18","3층 (신림동)","2021-03-08","","","28.15","1300","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","20","4","93.085","","2021-02-23 15:48:06.0","2022-02-24 18:08:06.0"
"SB210203","성북9호점 우리동네키움센터(정릉4동)","1001","우리동네키움센터","11290","성북구","1003","초등학생","127.00981","37.6101","02717","서울특별시 성북구 보국문로16길 2","2층 (정릉동)","2021-03-02","","","30","1000","1900","0900","1800","1000","1900","N","","","N","","50000","N","","2500","23","5","115","","2021-02-18 18:34:54.0","2022-09-26 17:37:00.0"
"SB210202","성북4호점 우리동네키움센터(장위2동)","1001","우리동네키움센터","11290","성북구","1003","초등학생","127.05296","37.61141","02770","서울특별시 성북구 장위로40다길 10","성북4호점 우리동네키움센터 (장위동)","2021-03-02","","","57","0900","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","30","6","187","","2021-02-18 17:22:39.0","2022-06-24 14:15:58.0"
"EP210206","은평7호점 우리동네키움센터","1001","우리동네키움센터","11380","은평구","1003","초등학생","126.90834","37.61331","03426","서울특별시 은평구 서오릉로17길 19-1","1층 (구산동)","2021-03-08","","","39","1000","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","30","6","131.32","","2021-02-16 20:04:13.0","2022-03-02 15:12:17.0"
"EP210205","은평8호점우리동네키움센터[마을연계]","1009","융합형키움센터","11380","은평구","1003","초등학생","126.92796","37.62303","03347","서울특별시 은평구 연서로40길 2","1층 2층 (불광동)","2021-03-15","","","71.23","1000","2000","0800","2000","0900","2000","Y","0900","1300","N","","50000","N","","2500","40","8","235.48","","2021-02-16 17:30:15.0","2022-08-11 10:00:39.0"
"EP210204","은평5호점 우리동네키움센터","1001","우리동네키움센터","11380","은평구","1003","초등학생","126.92943","37.6466","03304","서울특별시 은평구 진관4로 78-7","604동 1층 (진관동 은평뉴타운상림마을) ","2021-03-08","","","33","1000","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","106.31","","2021-02-16 15:32:03.0","2022-05-30 15:30:19.0"
"SB210201","성북8호점 우리동네키움센터(길음2동)","1001","우리동네키움센터","11290","성북구","1003","초등학생","127.0275887607966","37.61038638907391","02727","서울특별시 성북구 숭인로 50","114동 1층 주민공동시설 (길음동 래미안길음센터피스)","2021-03-02","","","32.2","0900","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","26","5","106.5","","2021-02-09 23:58:28.0","2022-05-19 09:42:35.0"
"SM210201","서대문4호점 우리동네키움센터(홍은2동)","1001","우리동네키움센터","11410","서대문구","1003","초등학생","126.93427855334897","37.58015566069941","03658","서울특별시 서대문구 모래내로 334","4층(서대문구청 4별관) (홍은동)","2021-02-22","","","42.6","1200","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","25","5","140.63","","2021-02-09 17:45:41.0","2022-10-24 17:07:40.0"
"EP210203","은평6호점 우리동네키움센터","1001","우리동네키움센터","11380","은평구","1003","초등학생","126.92795561907216","37.60602807881045","03377","서울특별시 은평구 녹번로7길 36","은평6호점우리동네키움센터 (녹번동) 지하1층","2021-03-08","","","23","1000","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","73","","2021-02-05 14:59:55.0","2022-07-29 09:59:20.0"
"DJ210206","동작9호점 우리동네키움센터(대방동)","1001","우리동네키움센터","11590","동작구","1003","초등학생","126.92809501052628","37.51101786557924","06941","서울특별시 동작구 알마타길 28","1층 (대방동)","2021-02-22","","","25","0900","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","20","4","79.54","","2021-02-04 14:52:13.0","2022-03-15 13:32:11.0"
"DJ210205","동작8호점 우리동네키움센터(사당3동)","1001","우리동네키움센터","11590","동작구","1003","초등학생","126.97658818276186","37.483866483785704","07005","서울특별시 동작구 사당로 261","1층 (사당동)","2021-02-22","","","25","1000","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","20","4","85.48","","2021-02-04 14:44:09.0","2021-07-26 11:56:13.0"
"DJ210204","동작7호점 우리동네키움센터(사당2동)","1001","우리동네키움센터","11590","동작구","1003","초등학생","126.98174724476764","37.48931831543759","06997","서울특별시 동작구 동작대로29가길 30","2층 (사당동)","2021-02-22","","","25","0700","2100","0700","2100","1000","1900","N","","","N","","50000","N","","2500","20","4","85.37","","2021-02-04 14:38:17.0","2022-09-05 07:42:13.0"
"DJ210203","동작6호점 우리동네키움센터(신상도)","1001","우리동네키움센터","11590","동작구","1003","초등학생","126.94158422440108","37.50015348330154","07047","서울특별시 동작구 양녕로29길 50","1~2층 (상도동)","2021-02-22","","","45","0900","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","30","6","149.75","","2021-02-04 14:31:42.0","2022-08-09 09:11:40.0"
"DJ210202","동작5호점 우리동네키움센터(상도1동)","1001","우리동네키움센터","11590","동작구","1003","초등학생","126.95353700353828","37.50087888600973","06971","서울특별시 동작구 상도로53길 41","2층 (상도동)","2021-02-22","","","33","1000","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","25","5","111.72","","2021-02-04 14:25:20.0","2022-01-21 06:55:18.0"
"DJ210201","동작4호점 우리동네키움센터(노량진1동)","1001","우리동네키움센터","11590","동작구","1003","초등학생","126.9404116748169","37.51033245334556","06924","서울특별시 동작구 장승배기로 142-1","2층 (노량진동)","2021-02-22","","","42","0900","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","30","6","139.68","","2021-02-04 14:16:20.0","2022-09-16 17:24:40.0"
"SD210101","성동11호점 우리동네키움센터(신금호아이꿈누리터)","1001","우리동네키움센터","11200","성동구","1003","초등학생","127.02076","37.55448","04727","서울특별시 성동구 행당로 6","103호 (금호동1가)","2021-01-27","","","28","0900","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","90.75","","2021-01-27 13:48:16.0","2022-06-16 19:07:05.0"
"YC210101","양천3호점 우리동네키움센터","1001","우리동네키움센터","11470","양천구","1003","초등학생","126.8457","37.51793","08069","서울특별시 양천구 남부순환로83길 54","양천구3호점 우리동네키움센터 (신월동)","2021-01-25","","","44.74","1000","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","25","5","147.65","","2021-01-25 11:54:20.0","2022-04-29 10:31:00.0"
"YS210101","용산7호점 우리동네키움센터","1001","우리동네키움센터","11170","용산구","1003","초등학생","126.99465","37.52047","04398","서울특별시 용산구 서빙고로 279","서빙고동주민센터 4층 (서빙고동)","2021-01-29","","","40","1200","2000","0800","2000","0800","2000","N","","","N","","50000","N","","2500","30","6","132","","2021-01-22 10:11:45.0","2022-06-07 14:57:08.0"
"KC210101","금천3호점 우리동네키움센터(시흥1동)","1001","우리동네키움센터","11545","금천구","1003","초등학생","126.90083","37.44666","08637","서울특별시 금천구 시흥대로39길 46","상가 3층 (시흥동)","2021-01-20","","","38","0900","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","125","","2021-01-20 11:31:36.0","2022-09-20 10:59:09.0"
"SP210101","송파15호점(융합형) 우리동네키움센터(잠실본동2호점 송파키움센터)","1009","융합형키움센터","11710","송파구","1003","초등학생","127.08268","37.50612","05569","서울특별시 송파구 백제고분로 139","극동빌딩 B동 2층 (잠실동)","2021-01-18","","","63.5","1200","2000","0800","2000","0800","2000","Y","0900","1300","N","","50000","N","","2500","45","9","210","","2021-01-16 14:43:32.0","2022-03-07 16:29:29.0"
"SM210101","서대문3호점 우리동네키움센터 마을연계(홍제3동 우리동네키움센터)","1009","융합형키움센터","11410","서대문구","1003","초등학생","126.94693","37.59692","03619","서울특별시 서대문구 간호대로 35-12"," (홍제동)","2021-01-25","","","85","0800","2000","0800","2000","0800","2000","Y","1000","1400","N","","50000","N","","2500","40","8","283.18","","2021-01-10 14:08:14.0","2022-10-05 18:42:35.0"
"NW210101","노원24호점 우리동네키움센터(공릉비선 아이휴센터)","1001","우리동네키움센터","11350","노원구","1003","초등학생","127.08713616929711","37.62566686269063","01799","서울특별시 노원구 화랑로51길 78","504동 105호 (공릉동 비선아파트)","2021-02-15","","","23","1200","2000","0900","2000","0900","2000","N","","","N","","20000","N","","2500","23","4","77.44","","2021-01-07 16:38:31.0","2021-12-21 09:19:52.0"
"JG210101","중구6호점 우리동네키움센터(중구형 초등돌봄 다산센터)","1001","우리동네키움센터","11140","중구","1003","초등학생","127.00954","37.55436","04598","서울특별시 중구 동호로11길 22","신당종합복지관 5층 (신당동)","2021-01-04","","","23","1200","2000","0800","2000","0800","2000","N","","","Y","0","","","0","","20","4","78","","2021-01-04 14:00:16.0","2022-10-27 14:42:36.0"
"YF210102","영등포8호점 우리동네키움센터(신길1동 아이랜드)","1001","우리동네키움센터","11560","영등포구","1003","초등학생","126.9156","37.51009","07348","서울특별시 영등포구 도신로54길 15-12","1층 (신길동)","2021-01-11","","","23","1100","2000","0900","1900","0900","1900","N","","","","0","","Y","0","","20","4","77","","2021-01-02 15:06:34.0","2022-04-06 10:35:09.0"
"YF210101","영등포7호점 우리동네키움센터(당산2동 아이랜드)","1001","우리동네키움센터","11560","영등포구","1003","초등학생","126.90026","37.52864","07220","서울특별시 영등포구 국회대로37길 19","중앙빌딩 3층 (당산동4가)","2021-01-11","","","35","0800","1900","0800","1900","0800","1900","N","","","","0","","Y","0","","25","5","115","","2021-01-02 15:00:55.0","2022-10-19 17:00:31.0"
"YC201201","양천2호점 우리동네키움센터(융합형)","1009","융합형키움센터","11470","양천구","1003","초등학생","126.8703","37.54324","07974","서울특별시 양천구 목동중앙본로 86","2층 (목동)","2021-01-11","","","72","1000","2000","0800","2000","0800","2000","Y","0900","1300","N","","50000","N","","2500","35","7","239","","2020-12-29 16:14:47.0","2022-07-14 15:21:01.0"
"JN201203","종로3호점 해아전 우리동네키움센터(혜화동)","1001","우리동네키움센터","11110","종로구","1003","초등학생","127.00065","37.586","03075","서울특별시 종로구 혜화로 3","1층~3층 (혜화동)","2021-01-20","","","50.5","0900","1800","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","167","","2020-12-24 18:25:48.0","2021-08-02 14:34:48.0"
"JR201201","중랑2호점 우리동네키움센터(중랑아동돌봄센터)","1001","우리동네키움센터","11260","중랑구","1003","초등학생","127.08423","37.61948","02021","서울특별시 중랑구 신내로25가길 2","3층 303호 (묵동)","2021-02-01","","","26","1000","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","26","5","87.36","","2020-12-24 10:24:42.0","2022-09-06 17:46:16.0"
"GD201202","강동3호점 강일동 우리동네키움센터(융합형)","1009","융합형키움센터","11740","강동구","1003","초등학생","127.17408","37.56464","05211","서울특별시 강동구 아리수로 421","2층 (강일동)","2020-12-28","","","88","0900","2000","0800","2000","0800","2000","Y","0900","1300","N","","50000","N","","2500","35","7","290.9","","2020-12-23 12:30:50.0","2022-08-03 09:44:49.0"
"GD201201","강동2호점 명일2동 우리동네키움센터","1001","우리동네키움센터","11740","강동구","1003","초등학생","127.15465244125722","37.54875135643027","05271","서울특별시 강동구 동남로67길 21","2층 (명일동)","2020-12-28","","","21","1000","1900","0900","1800","0900","1900","N","","","N","","40000","N","","2000","17","3","83.6","","2020-12-23 12:03:35.0","2022-08-03 08:52:31.0"
"YS201201","용산8호점 우리동네키움센터","1001","우리동네키움센터","11170","용산구","1003","초등학생","126.98858","37.53605","04345","서울특별시 용산구 녹사평대로40나길 37","지하1층 (이태원동)","2020-12-28","","","24","1200","2000","0800","2000","0800","2000","N","","","N","","50000","","0","","20","4","78.79","","2020-12-18 14:48:23.0","2022-02-28 10:37:22.0"
"SB201201","성북2호점 우리동네키움센터 융합형(석관동)","1009","융합형키움센터","11290","성북구","1003","초등학생","127.0546434337544","37.608960471399406","02790","서울특별시 성북구 화랑로 214","래미안석관 내 키움센터 (석관동 래미안석관) / 구. 석관동 청소년공부방","2020-12-21","","","81.4","0900","2000","0800","2000","0900","2000","Y","0800","1200","N","","50000","N","","2500","35","7","269","","2020-12-17 14:51:49.0","2022-03-31 12:15:26.0"
"DM201201","동대문구 3호점 우리동네키움센터","1001","우리동네키움센터","11230","동대문구","1003","초등학생","127.06115703163057","37.58112397131469","02508","서울특별시 동대문구 전농로16길 51","108동 주민공동시설 1층 (전농동 래미안아름숲)","2020-12-21","","","35.6","1000","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","117.64","","2020-12-14 17:05:44.0","2022-07-28 14:02:55.0"
"KC201201","금천1호점 우리동네키움센터(독산1동)","1001","우리동네키움센터","11545","금천구","1003","초등학생","126.89474","37.45858","08608","서울특별시 금천구 벚꽃로 30","2차 상가 314호 (독산동 금천 롯데캐슬 골드파크 2차)","2020-12-01","","","24","1000","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","20","4","79.56","","2020-12-14 14:02:12.0","2022-08-03 12:01:04.0"
"SP201207","송파14호점 우리동네키움센터(장지동 송파키움센터)","1001","우리동네키움센터","11710","송파구","1003","초등학생","127.12672","37.48198","05810","서울특별시 송파구 새말로8길 9","2층 201호","2020-12-07","","","30","0900","2000","0700","2000","0800","2000","N","","","N","","50000","N","","2500","30","6","99","","2020-12-08 14:36:43.0","2022-01-10 22:02:44.0"
"SP201206","송파13호점 우리동네키움센터(송파2동 송파키움센터)","1001","우리동네키움센터","11710","송파구","1003","초등학생","127.11558","37.50196","05674","서울특별시 송파구 송이로10길 12","2층 (송파동)","2020-12-15","","","24.8","0900","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","82","","2020-12-08 14:27:19.0","2022-08-24 12:43:40.0"
"SP201205","송파12호점 우리동네키움센터(방이1동 송파키움센터)","1001","우리동네키움센터","11710","송파구","1003","초등학생","127.11952","37.51195","05635","서울특별시 송파구 가락로 270","2층 (방이동 우정팰리스)","2020-12-01","","","33.9","0900","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","25","5","112","","2020-12-08 14:19:47.0","2022-09-01 14:10:05.0"
"SP201204","송파11호점(융합형) 우리동네키움센터(오금동 송파키움센터)","1009","융합형키움센터","11710","송파구","1003","초등학생","127.14152","37.50043","05738","서울특별시 송파구 동남로28길 40","구립청소년미래센터 3층 (오금동)","2020-12-07","","","63.5","1100","2000","0800","2000","0800","2000","Y","0900","1300","N","","50000","N","","2500","40","8","210","","2020-12-08 14:07:06.0","2022-07-06 11:21:43.0"
"SP201203","송파10호점 우리동네키움센터(가락2동 송파키움센터)","1001","우리동네키움센터","11710","송파구","1003","초등학생","127.12721","37.49834","05822","서울특별시 송파구 중대로20길 14","2층 (가락동)","2020-12-15","","","34.8","0900","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","30","6","115","","2020-12-08 13:52:44.0","2022-06-02 09:29:58.0"
"SP201202","송파9호점 우리동네키움센터(삼전동 2호점 송파키움센터)","1001","우리동네키움센터","11710","송파구","1003","초등학생","127.09461","37.50673","05601","서울특별시 송파구 석촌호수로 158","2층 (삼전동 금한빌딩)","2020-11-23","","","26.9","0900","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","25","5","89","","2020-12-08 11:17:01.0","2022-10-11 09:58:39.0"
"SP201201","송파8호점 우리동네키움센터(석촌동 송파키움센터)","1001","우리동네키움센터","11710","송파구","1003","초등학생","127.10405","37.50431","05615","서울특별시 송파구 백제고분로37길 4","1층 (석촌동)","2020-11-23","","","21.8","0900","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","72","","2020-12-08 10:36:45.0","2022-05-11 15:28:25.0"
"MP201201","마포3호점 우리동네키움센터(용강동)","1001","우리동네키움센터","11440","마포구","1003","초등학생","126.93806","37.54233","04162","서울특별시 마포구 대흥로4길 13","2층 (용강동)","2020-12-21","","","34","0900","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","20","4",".113.56","","2020-12-07 15:51:44.0","2021-12-22 11:04:41.0"
"JN201201","종로4호점 우리동네키움센터(마을연계)(융합형)","1009","융합형키움센터","11110","종로구","1003","초등학생","127.01644","37.57699","03109","서울특별시 종로구 지봉로12길 16","201호 및 202호 (숭인동 남광쉐르빌)","2020-12-30","","","57.8","0900","2000","0800","2000","0800","2000","Y","0900","1400","N","","50000","N","","2500","30","6","191","","2020-12-04 21:18:47.0","2021-11-04 15:32:13.0"
"GJ201204","광진7호점 우리동네키움센터","1001","우리동네키움센터","11215","광진구","1003","초등학생","127.09337","37.53785","05047","서울특별시 광진구 구의강변로 79","2층 (구의동)","2020-12-07","","","34.1","0900","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","112.71","","2020-12-04 18:54:48.0","2021-10-14 17:29:56.0"
"GJ201203","광진6호점 우리동네키움센터","1001","우리동네키움센터","11215","광진구","1003","초등학생","127.08106","37.55951","04928","서울특별시 광진구 능동로 338","2층 (중곡동)","2020-12-01","","","51.5","1000","1900","1000","1900","1000","1900","N","","","N","","50000","","0","","25","5","170.25","","2020-12-04 18:50:29.0","2021-12-24 14:50:54.0"
"GJ201202","광진5호점 우리동네키움센터","1001","우리동네키움센터","11215","광진구","1003","초등학생","127.08105","37.56047","04915","서울특별시 광진구 능동로 347","2층 (중곡동)","2020-12-01","","","40","1000","1900","0900","1800","0900","1900","N","","","N","","50000","N","","2500","20","4","132.05","","2020-12-04 18:42:33.0","2022-01-11 13:51:55.0"
"GJ201201","광진4호점 우리동네키움센터","1001","우리동네키움센터","11215","광진구","1003","초등학생","127.09732","37.54108","04974","서울특별시 광진구 아차산로66길 8","3층 (광장동)","2020-12-01","","","25.6","0900","1900","0800","1900","0900","1900","N","","","N","","50000","N","","2500","20","4","84.72","","2020-12-04 18:35:05.0","2022-06-09 15:36:14.0"
"BP201201","제2호(동작권) 거점형 우리동네키움센터","1008","거점형키움센터","11590","동작구","1003","초등학생","126.92663","37.51216","06938","서울특별시 동작구 노량진로 10","스페이스살림 내 1층 활동실 (대방동)","2020-12-02","","","","1300","1900","0800","2000","0900","1900","Y","1000","1800","","0","","N","","2500","0","18","","11590","2020-12-02 10:51:24.0","2022-11-01 14:38:25.0"
"GB201101","강북2호점 우리동네키움센터(인수동)","1001","우리동네키움센터","11305","강북구","1003","초등학생","127.01413","37.63437","01093","서울특별시 강북구 인수봉로48길 11-3","1층 (수유동)","2020-12-07","","","25","1100","1900","0900","1900","0900","1800","N","","","N","","50000","N","","2500","20","4","84","","2020-11-27 21:27:40.0","2022-07-27 15:27:51.0"
"GN201101","강남5호점 우리동네키움센터(도성다함께키움센터)","1001","우리동네키움센터","11680","강남구","1003","초등학생","127.048","37.49852","06216","서울특별시 강남구 역삼로52길 14","304호(역삼동 도곡프라자) (역삼동)","2020-12-28","","","37.3","1000","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","123.16","","2020-11-23 13:01:52.0","2022-05-23 17:40:48.0"
"GR201104","구로13호점 우리동네키움센터(항동)","1001","우리동네키움센터","11530","구로구","1003","초등학생","126.82476","37.48116","08368","서울특별시 구로구 항동로3길 4","201호 (항동)","2020-11-25","","","29","0900","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","25","5","96.3","","2020-11-18 14:36:51.0","2022-01-04 13:37:18.0"
"GR201103","구로12호점 우리동네키움센터(온수동)","1001","우리동네키움센터","11530","구로구","1003","초등학생","126.82445","37.49307","08260","서울특별시 구로구 부일로 875","2층 (온수동)","2020-11-25","","","42","1000","1900","0900","1800","1000","1900","N","","","N","","50000","N","","2500","25","5","141","","2020-11-18 14:27:53.0","2022-06-29 09:05:15.0"
"GR201102","구로11호점 우리동네키움센터(천왕숲)","1001","우리동네키움센터","11530","구로구","1003","초등학생","126.84245","37.4837","08350","서울특별시 구로구 오리로 1102-6","106호107호 (천왕동)","2020-11-25","","","30","1000","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","25","5","99.5","","2020-11-18 14:19:45.0","2022-10-17 15:27:39.0"
"GR201101","구로10호점 우리동네키움센터(오류2동)","1001","우리동네키움센터","11530","구로구","1003","초등학생","126.83936","37.4894","08342","서울특별시 구로구 서해안로24길 27","2층 (오류동)","2020-11-25","","","21","0900","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","20","4","70.2","","2020-11-18 14:14:06.0","2022-05-27 11:55:02.0"
"JN201103","종로2호점 우리동네키움센터(부암동)","1001","우리동네키움센터","11110","종로구","1003","초등학생","126.9606","37.60174","03014","서울특별시 종로구 세검정로 259","102호 (신영동 진안빌라)","2020-11-18","","","28.4","0900","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","94","","2020-11-12 17:49:14.0","2021-10-28 12:53:02.0"
"GJ201101","광진3호점 융합형 우리동네키움센터","1009","융합형키움센터","11215","광진구","1003","초등학생","127.08392","37.53409","05056","서울특별시 광진구 자양로 71-7","지하1층 ~ 지상2층 (자양동)","2020-11-02","","","88.2","0900","2000","0800","2000","0800","2000","Y","1100","1500","N","","20000","N","","2500","30","6","291.33","","2020-11-12 14:08:01.0","2022-07-05 19:02:03.0"
"SM201101","서대문2호점 우리동네키움센터(연희동 우리동네키움센터  친구랑)","1001","우리동네키움센터","11410","서대문구","1003","초등학생","126.93284","37.57001","03699","서울특별시 서대문구 연희로 139-5","2층(연희동호범빌딩) (연희동)","2020-11-09","","","27","0900","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","25","5","89.11","","2020-11-02 14:11:52.0","2022-07-25 13:31:54.0"
"SP201001","송파7호점 우리동네키움센터(위례동 송파키움센터)","1001","우리동네키움센터","11710","송파구","1003","초등학생","127.13572","37.47573","05814","서울특별시 송파구 위례순환로 477","2321동 1층 다목적실내부 (장지동 위례포레샤인23단지)","2020-11-09","","","44","0900","1900","0900","1800","1000","1900","N","","","N","","50000","N","","2500","25","5","146","","2020-10-25 20:57:55.0","2022-08-17 09:17:14.0"
"GB201001","강북1호점 우리동네키움센터(융합형)(수유2동)","1009","융합형키움센터","11305","강북구","1003","초등학생","127.01551","37.64862","01044","서울특별시 강북구 삼양로136길 30","2층~3층 (수유동 다올자리)","2020-11-23","","","68.1","1100","2000","0800","2000","0800","2000","Y","0900","1300","N","","50000","N","","2500","30","6","224.74","","2020-10-23 16:05:30.0","2022-05-19 17:01:31.0"
"YF201001","영등포6호점 우리동네키움센터(도영 아이랜드)","1001","우리동네키움센터","11560","영등포구","1003","초등학생","126.90214","37.50993","07369","서울특별시 영등포구 도림로112길 21-15","2층 (영등포동)","2020-10-26","","","27","1000","1900","0900","1800","0900","1800","N","","","","","","Y","0","","20","4","89","","2020-10-13 17:58:20.0","2022-09-23 14:51:09.0"
"NW201001","노원23호점 우리동네키움센터(노원융합형 아이휴센터)","1009","융합형키움센터","11350","노원구","1003","초등학생","127.0596","37.64097","01772","서울특별시 노원구 덕릉로70길 100"," (상계동) 노원아이돌봄센터 2층","2020-10-29","","","100","1200","2000","0900","2000","0900","2000","Y","0900","1300","N","","20000","N","","2500","40","8","318","","2020-10-11 16:00:51.0","2022-01-11 14:49:51.0"
"GR201001","구로9호점 우리동네키움센터(신도림동)","1001","우리동네키움센터","11530","구로구","1003","초등학생","126.87874","37.5066","08211","서울특별시 구로구 신도림로 20","401호 (신도림동)","2020-10-12","","","55","0900","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","30","6","181","","2020-10-06 19:31:40.0","2021-05-12 13:54:22.0"
"GR200903","구로8호점 우리동네키움센터(고척2동)","1001","우리동네키움센터","11530","구로구","1003","초등학생","126.85552","37.50697","08239","서울특별시 구로구 중앙로15길 80","2층 (고척동)","2020-10-01","","","40","0900","1900","0900","1800","0900","1900","N","","","N","","50000","N","","2500","30","6","154","","2020-09-29 16:20:43.0","2022-10-05 11:32:59.0"
"BP200902","제1호(노원?도봉권) 거점형 우리동네키움센터","1008","거점형키움센터","11350","노원구","1003","초등학생","127.05127","37.67222","01614","서울특별시 노원구 동일로231다길 10"," (상계동)","2020-09-29","","","","1300","1900","0800","2000","0900","1800","Y","1000","1800","","0","","N","","2500","0","20","","1135011320","2020-09-29 09:46:21.0","2022-10-29 09:28:56.0"
"YS200901","용산6호점 우리동네키움센터","1001","우리동네키움센터","11170","용산구","1003","초등학생","126.96662480713961","37.5267648742758","04387","서울특별시 용산구 서빙고로 17","용산센트럴 파크타워(한강로3가) 2층","2020-10-05","","","44","0800","2000","0800","2000","0800","2000","N","","","N","","50000","N","","2500","30","6","146.5","","2020-09-27 18:20:45.0","2022-09-22 11:02:10.0"
