gu,count,rate,silhouette_coeff,score
강서구,69,0.037096774193548385,0.42561874845851083,0.006284054876434206
노원구,67,0.03602150537634408,0.39253412487327316,0.005627588695629409
동작구,68,0.03655913978494624,0.38644226501164447,0.005622942720578036
서초구,164,0.08817204301075268,0.4392424060417014,0.015414102326426845
송파구,140,0.07526881720430108,0.47734084898007456,0.014299694680198793
은평구,184,0.0989247311827957,0.5523462674727279,0.02174700099976495
종로구,174,0.0935483870967742,0.4203940868674932,0.01565222113104712
