gu,count,rate,silhouette_coeff,score
강남구,177,0.09927089175546831,0.5481439328872837,0.03716526539017197
강서구,126,0.07066741446999439,0.6635605855567872,0.03202731176211217
도봉구,21,0.011777902411665733,0.7388855459702545,0.005943822426164532
동대문구,62,0.034772854739203586,0.5026164271290818,0.011937069670896298
동작구,46,0.025799214806505887,0.5660383850239324,0.009974085238744762
송파구,88,0.049355019629837356,0.6583636737744077,0.02219309604516938
은평구,79,0.0443073471676949,0.5754562058928684,0.01741440858180679
중구,207,0.1160964666292765,0.6652454494412916,0.05274989730087451
