gu,count,rate,silhouette_coeff,score
강남구,6819,0.11080057845733877,0.46393413410299417,-0.02966020633506132
관악구,4642,0.07542693726337682,0.47040258158471837,-0.020472552007609043
도봉구,1178,0.019141088344734575,0.3681447004225243,-0.004065940265268061
송파구,1162,0.018881107518320523,0.3684681189872163,-0.004014238721054138
양천구,959,0.015582600783192239,0.45300997462948794,-0.00407308545880774
은평구,3537,0.05747201143915636,0.5058991654561323,-0.016776299594137144
중구,2317,0.0376484734250849,0.38818736007901744,-0.008432659691205808
중랑구,3740,0.060770518174284645,0.4604110976060709,-0.016144125902408865
