road_km2,mean_acc,cam_total,zone_total,mean_acc/road_km2,ch_acc/child_pop,cam/road_km2,zone/road_km2
0.11292346298619825,1028.0,174,38,9103.5111,0.0023023791250959325,1540.8667,336.51111111111106
0.18875502008032125,1075.0,43,33,5695.2128,0.0035058430717863106,227.8085,174.82978723404258
0.14403292181069957,1152.0,53,33,7998.1714,0.001487111698612029,367.9714,229.11428571428573
0.17912218268090155,1097.0,43,44,6124.3113,0.0011439777741461023,240.0596,245.64238410596025
0.20164126611957797,987.0,46,80,4894.8314,0.00234009360374415,228.1279,396.74418604651163
0.22151898734177214,1564.0,47,62,7060.3429,0.0013794567062818336,212.1714,279.8857142857143
0.1589189189189189,1529.0,31,41,9621.2585,0.0018016263329600235,195.068,257.99319727891157
0.1720911310008137,1411.0,87,89,8199.1442,0.0016754883667796352,505.5461,517.1678486997636
0.08389830508474576,1160.0,29,40,13826.2626,0.0019299058205959549,345.6566,476.7676767676768
0.11380145278450364,790.0,35,64,6941.9149,0.0012695994413762458,307.5532,562.3829787234042
0.10835214446952596,1529.0,67,100,14111.3958,0.0019168438295054542,618.3542,922.9166666666666
0.11780545270952542,1028.0,185,75,8726.2514,0.00187094310805651,1570.3857,636.6428571428571
0.1554169030062394,1007.0,58,35,6479.3467,0.0015312260745925844,373.1898,225.20072992700725
0.17148846960167713,1480.0,47,49,8630.3178,0.0013630168105406633,274.0709,285.73349633251837
0.20792647903503733,1385.0,56,96,6661.0083,0.0024803034724248615,269.326,461.70165745856355
0.12135102533172497,1598.0,69,68,13168.4095,0.0016980413970781978,568.5984,560.3578528827038
0.15805168986083498,1434.0,58,59,9072.9811,0.001349141455437449,366.9686,373.29559748427675
0.1728110599078341,863.0,40,45,4993.8933,0.002482302105359934,231.4667,260.4
0.18085539714867618,2341.0,97,65,12944.0428,0.003326876105449339,536.3401,359.40315315315314
0.16687041564792177,1336.0,68,56,8006.2125,0.001701775365651734,407.5018,335.5897435897436
0.10246871829556983,1355.0,77,65,13223.5479,0.0017340414002384307,751.4488,634.3399339933993
0.12324393358876118,2325.0,164,56,18865.0259,0.0018722129557136535,1330.6943,454.38341968911914
0.14430379746835442,3644.0,78,100,25252.2807,0.0024769127270503335,540.5263,692.9824561403509
0.1461038961038961,2742.0,140,83,18767.4667,0.0018880878819086853,958.2222,568.088888888889
0.1439609597397316,1304.0,69,82,9058.0113,0.0012178042988491749,479.2966,569.5988700564972
