gu,crime_score,acc_score,sur_score,FINAL_SCORE
강남구,0.007505059055110647,-0.0052363542805127445,0.06500172390677211,1.0627330191321742
중랑구,-0.016144125902408865,0.0,0.008853194419989946,1.0249973203223988
관악구,-0.020472552007609043,-0.003772077674554584,0.0,1.0242446296821637
양천구,-0.00407308545880774,-0.006540414959279005,0.009437995498462276,1.020051495916549
성북구,0.0,0.0,0.017254263130595505,1.0172542631305954
서대문구,0.0,-0.001964770294164024,0.009417952336118028,1.011382722630282
노원구,0.0,0.005627588695629409,0.01508892523898165,1.0094613365433522
강동구,0.0,-0.0048330440993147135,0.0,1.0048330440993147
동작구,0.009974085238744762,0.005622942720578036,0.019599455366320954,1.004002427406998
도봉구,0.0018778821608964715,-0.004101012107951291,0.0,1.0022231299470548
강북구,0.0,0.0,0.0,1.0
용산구,0.0,0.0,0.0,1.0
성동구,0.0,0.0,0.0,1.0
영등포구,0.0,0.0,0.0,1.0
금천구,0.0,0.0,0.0,1.0
구로구,0.0,0.0,0.0,1.0
광진구,0.0,0.0,0.0,1.0
마포구,0.0,0.0,0.0,1.0
송파구,0.01817885732411524,0.014299694680198793,0.027765423526607352,0.9952868715222933
동대문구,0.011937069670896298,-0.003123711987976869,0.0,0.9911866423170806
서초구,0.0,0.015414102326426845,0.00294378627911422,0.9875296839526874
종로구,0.0,0.013820978562978058,0.0,0.986179021437022
은평구,0.0006381089876696458,0.02174700099976495,0.0,0.9776148900125654
강서구,0.03202731176211217,0.006284054876434206,0.015599482759409975,0.9772881161208635
중구,0.0443172376096687,0.0,0.0,0.9556827623903313
